[INFO] 2025-06-09T03:49:37.980Z START RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_953e1a111e13fbeb681f915778ac824e009ef79d64fc7cfa76e6c118a64274b0.json	 Bucket: denethor	 FilePath: mafdb/mafdb_953e1a111e13fbeb681f915778ac824e009ef79d64fc7cfa76e6c118a64274b0.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_dd5bb0860cd8cfcf1de73c7e51fea56058e02019372b37c0fbe797a9a837ad38.json	 Bucket: denethor	 FilePath: mafdb/mafdb_dd5bb0860cd8cfcf1de73c7e51fea56058e02019372b37c0fbe797a9a837ad38.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4a69772641578ec2d1db9c6dd1aabd576f4015e01037c89e4cf54545772984e3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4a69772641578ec2d1db9c6dd1aabd576f4015e01037c89e4cf54545772984e3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f15d6d133941e8137799af5c1c04fc577dd74e96149a2ccd80e4f571114f20e3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f15d6d133941e8137799af5c1c04fc577dd74e96149a2ccd80e4f571114f20e3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f6df04e8133221cbf519260251139ebd37c34febe492851dd4458992bca83c94.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f6df04e8133221cbf519260251139ebd37c34febe492851dd4458992bca83c94.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_6f51ab0e641bb384954092390e08d5f95ec4531f17a7dfba439beb3259e5929a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_6f51ab0e641bb384954092390e08d5f95ec4531f17a7dfba439beb3259e5929a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fac1936d51dfedc6b2390b5bce6179113332479afc4a5757defe3114aec8f0bb.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fac1936d51dfedc6b2390b5bce6179113332479afc4a5757defe3114aec8f0bb.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_715bea8166387785654d4817b63af51d4368d79e15da6d3149784cf360d76eaa.json	 Bucket: denethor	 FilePath: mafdb/mafdb_715bea8166387785654d4817b63af51d4368d79e15da6d3149784cf360d76eaa.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_37f48e1b859b9b0ccb1d3918e3547c15f7c27b9cfc7ada49018043d3593d2b30.json	 Bucket: denethor	 FilePath: mafdb/mafdb_37f48e1b859b9b0ccb1d3918e3547c15f7c27b9cfc7ada49018043d3593d2b30.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e55488255b1fbcc9aaabaac963dff236ce30a48f048179f2652bf6431063cf4b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e55488255b1fbcc9aaabaac963dff236ce30a48f048179f2652bf6431063cf4b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
