es_id;se_id;statistics_id;value_float;value_integer;value_string
209;106;1;566.1102369999753;;
210;107;1;1.2914429999000276;;
211;108;1;3.0116650000309164;;
212;109;1;3.0432500000188156;;
213;110;1;2.162493000014365;;
214;111;1;2.17239099993094;;
215;112;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
216;112;4;;;
217;112;5;;;
218;112;6;1340.5024649998722;;
219;113;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
220;113;4;;;
221;113;5;;;
222;113;6;3661.709659999815;;
223;114;3;;;['tree_ORTHOMCL256_2_Inner1.nexus', 'tree_ORTHOMCL256_2_Inner2.nexus', 'tree_ORTHOMCL256_2_Inner3.nexus', 'tree_ORTHOMCL256_2_Inner4.nexus', 'tree_ORTHOMCL256_2_Inner5.nexus', 'tree_ORTHOMCL256_2_Inner6.nexus', 'tree_ORTHOMCL256_2_Inner7.nexus', 'tree_ORTHOMCL256_2_Inner8.nexus']
224;114;4;;;
225;114;5;;;
226;114;6;3700.6980579999436;;
227;115;3;;;['tree_ORTHOMCL320_Inner1.nexus', 'tree_ORTHOMCL320_Inner2.nexus', 'tree_ORTHOMCL320_Inner3.nexus', 'tree_ORTHOMCL320_Inner4.nexus', 'tree_ORTHOMCL320_Inner5.nexus', 'tree_ORTHOMCL320_Inner6.nexus', 'tree_ORTHOMCL320_Inner7.nexus']
228;115;4;;;
229;115;5;;;
230;115;6;2960.997783000039;;
231;116;3;;;['tree_ORTHOMCL337_Inner1.nexus', 'tree_ORTHOMCL337_Inner2.nexus', 'tree_ORTHOMCL337_Inner3.nexus', 'tree_ORTHOMCL337_Inner4.nexus', 'tree_ORTHOMCL337_Inner5.nexus', 'tree_ORTHOMCL337_Inner6.nexus', 'tree_ORTHOMCL337_Inner7.nexus']
232;116;4;;;
233;116;5;;;
234;116;6;3040.0693499998397;;
235;117;7;;8;
