[INFO] 2025-04-20T19:25:28.805Z FILE_METRICS_START RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 242.623261177 ms	 ExecutionTag: file_metrics_tag_1745177128804
[INFO] 2025-04-20T19:25:33.581Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1334	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1334	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 90.42981999999711 ms
[INFO] 2025-04-20T19:25:33.902Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1352	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1352	 FilePathLocal: /tmp/files	 FileSize: 4946 bytes	 TransferDuration: 319.9168499999985 ms
[INFO] 2025-04-20T19:25:34.003Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1359	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1359	 FilePathLocal: /tmp/files	 FileSize: 4020 bytes	 TransferDuration: 101.41586999998253 ms
[INFO] 2025-04-20T19:25:34.101Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1363	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1363	 FilePathLocal: /tmp/files	 FileSize: 4532 bytes	 TransferDuration: 98.11658000000989 ms
[INFO] 2025-04-20T19:25:34.201Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1370	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1370	 FilePathLocal: /tmp/files	 FileSize: 3584 bytes	 TransferDuration: 99.66461999999865 ms
[INFO] 2025-04-20T19:25:34.301Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1374	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1374	 FilePathLocal: /tmp/files	 FileSize: 6252 bytes	 TransferDuration: 99.72231999998371 ms
[INFO] 2025-04-20T19:25:34.401Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1375	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1375	 FilePathLocal: /tmp/files	 FileSize: 3266 bytes	 TransferDuration: 99.99915000000215 ms
[INFO] 2025-04-20T19:25:34.742Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1378	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1378	 FilePathLocal: /tmp/files	 FileSize: 5640 bytes	 TransferDuration: 340.082289999998 ms
[INFO] 2025-04-20T19:25:34.848Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1385	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1385	 FilePathLocal: /tmp/files	 FileSize: 4930 bytes	 TransferDuration: 106.47215000000188 ms
[INFO] 2025-04-20T19:25:34.941Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1403	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1403	 FilePathLocal: /tmp/files	 FileSize: 2526 bytes	 TransferDuration: 92.80891000000224 ms
