[INFO] 2025-04-20T20:16:12.978Z FILE_METRICS_START RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 80.233679129 ms	 ExecutionTag: file_metrics_tag_1745180172977
[INFO] 2025-04-20T20:16:18.764Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 99.83305200000814 ms
[INFO] 2025-04-20T20:16:18.884Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.70947300000034 ms
[INFO] 2025-04-20T20:16:18.984Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 99.81569100000343 ms
[INFO] 2025-04-20T20:16:19.088Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 103.76948600000446 ms
[INFO] 2025-04-20T20:16:19.204Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 115.70898400000829 ms
[INFO] 2025-04-20T20:16:19.304Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 193 bytes	 TransferDuration: 99.90875399999766 ms
[INFO] 2025-04-20T20:16:19.404Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 99.78715199999044 ms
[INFO] 2025-04-20T20:16:19.524Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 119.76515400000665 ms
[INFO] 2025-04-20T20:16:19.658Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 133.70238599999595 ms
[INFO] 2025-04-20T20:16:19.744Z FILE_TRANSFER RequestId: 4bb09b78-8ce9-4e50-a106-2729ce542d2a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 251 bytes	 TransferDuration: 85.88342399998794 ms
