[INFO] 2025-05-03T23:20:21.583Z FILE_METRICS_START RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 921.893793673 ms	 ExecutionTag: file_metrics_tag_1746314421583
[INFO] 2025-05-03T23:20:26.690Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.73484999989068 ms
[INFO] 2025-05-03T23:20:26.790Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 99.97815099995933 ms
[INFO] 2025-05-03T23:20:26.890Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.63955900002475 ms
[INFO] 2025-05-03T23:20:27.003Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 113.00450700002784 ms
[INFO] 2025-05-03T23:20:27.110Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 106.71932100001413 ms
[INFO] 2025-05-03T23:20:27.210Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.82765400002336 ms
[INFO] 2025-05-03T23:20:27.330Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 193 bytes	 TransferDuration: 119.65271300005043 ms
[INFO] 2025-05-03T23:20:27.430Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 99.9026980000508 ms
[INFO] 2025-05-03T23:20:27.550Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 119.7145639999917 ms
[INFO] 2025-05-03T23:20:27.670Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.81321200005368 ms
[INFO] 2025-05-03T23:20:27.770Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 251 bytes	 TransferDuration: 99.87055300007341 ms
[INFO] 2025-05-03T23:20:27.890Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 309 bytes	 TransferDuration: 119.75698200001261 ms
[INFO] 2025-05-03T23:20:27.990Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 99.9571529999912 ms
[INFO] 2025-05-03T23:20:28.110Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.6862350000174 ms
[INFO] 2025-05-03T23:20:28.210Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 99.88002900001902 ms
[INFO] 2025-05-03T23:20:28.310Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 99.73625400004948 ms
[INFO] 2025-05-03T23:20:28.410Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 99.6464359999436 ms
[INFO] 2025-05-03T23:20:28.530Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1029_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1029_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.91409300003397 ms
