[INFO] 2025-04-20T21:58:06.840Z FILE_METRICS_START RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 1352.332139576 ms	 ExecutionTag: file_metrics_tag_1745186286839
[INFO] 2025-04-20T21:58:15.108Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1518	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1518	 FilePathLocal: /tmp/files	 FileSize: 6084 bytes	 TransferDuration: 99.91536600000472 ms
[INFO] 2025-04-20T21:58:15.228Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1527	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1527	 FilePathLocal: /tmp/files	 FileSize: 6042 bytes	 TransferDuration: 120.30388299990591 ms
[INFO] 2025-04-20T21:58:15.356Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1541	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1541	 FilePathLocal: /tmp/files	 FileSize: 4772 bytes	 TransferDuration: 127.34991900015302 ms
[INFO] 2025-04-20T21:58:15.488Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1591	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1591	 FilePathLocal: /tmp/files	 FileSize: 4656 bytes	 TransferDuration: 131.76331999989088 ms
[INFO] 2025-04-20T21:58:15.608Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1619	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1619	 FilePathLocal: /tmp/files	 FileSize: 3976 bytes	 TransferDuration: 119.84920499980944 ms
[INFO] 2025-04-20T21:58:15.728Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1677	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1677	 FilePathLocal: /tmp/files	 FileSize: 2984 bytes	 TransferDuration: 119.63140100010605 ms
[INFO] 2025-04-20T21:58:15.868Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1678	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1678	 FilePathLocal: /tmp/files	 FileSize: 3992 bytes	 TransferDuration: 140.28041400001712 ms
[INFO] 2025-04-20T21:58:15.988Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1686	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1686	 FilePathLocal: /tmp/files	 FileSize: 6120 bytes	 TransferDuration: 119.29876699991837 ms
[INFO] 2025-04-20T21:58:16.108Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1706	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1706	 FilePathLocal: /tmp/files	 FileSize: 3192 bytes	 TransferDuration: 119.80704600000536 ms
[INFO] 2025-04-20T21:58:16.228Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1762	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1762	 FilePathLocal: /tmp/files	 FileSize: 5202 bytes	 TransferDuration: 119.71236299996235 ms
