[INFO] 2025-05-07T17:03:53.780Z FILE_METRICS_START RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 432.437500842 ms	 ExecutionTag: file_metrics_tag_1746637433779
[INFO] 2025-05-07T17:04:02.062Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1404	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1404	 FilePathLocal: /tmp/files	 FileSize: 3346 bytes	 TransferDuration: 119.68222900003411 ms
[INFO] 2025-05-07T17:04:02.162Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1408	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1408	 FilePathLocal: /tmp/files	 FileSize: 2358 bytes	 TransferDuration: 99.83714800000598 ms
[INFO] 2025-05-07T17:04:02.282Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1410	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1410	 FilePathLocal: /tmp/files	 FileSize: 6196 bytes	 TransferDuration: 119.68769000003476 ms
[INFO] 2025-05-07T17:04:02.382Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1442	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1442	 FilePathLocal: /tmp/files	 FileSize: 3846 bytes	 TransferDuration: 99.76229199997988 ms
[INFO] 2025-05-07T17:04:02.522Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1464	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1464	 FilePathLocal: /tmp/files	 FileSize: 4278 bytes	 TransferDuration: 139.5420050000098 ms
[INFO] 2025-05-07T17:04:02.622Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1480	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1480	 FilePathLocal: /tmp/files	 FileSize: 5848 bytes	 TransferDuration: 100.00327299997025 ms
[INFO] 2025-05-07T17:04:02.725Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1490	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1490	 FilePathLocal: /tmp/files	 FileSize: 5188 bytes	 TransferDuration: 102.10249599998633 ms
[INFO] 2025-05-07T17:04:02.842Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1491	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1491	 FilePathLocal: /tmp/files	 FileSize: 3740 bytes	 TransferDuration: 117.32737800002724 ms
[INFO] 2025-05-07T17:04:02.942Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1518	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1518	 FilePathLocal: /tmp/files	 FileSize: 6084 bytes	 TransferDuration: 99.72607299999936 ms
[INFO] 2025-05-07T17:04:03.082Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1527	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1527	 FilePathLocal: /tmp/files	 FileSize: 6042 bytes	 TransferDuration: 139.6771069999545 ms
[INFO] 2025-05-07T17:04:03.251Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1541	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1541	 FilePathLocal: /tmp/files	 FileSize: 4772 bytes	 TransferDuration: 169.06930800001874 ms
[INFO] 2025-05-07T17:04:03.362Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1591	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1591	 FilePathLocal: /tmp/files	 FileSize: 4656 bytes	 TransferDuration: 110.52122699999245 ms
[INFO] 2025-05-07T17:04:03.562Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1619	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1619	 FilePathLocal: /tmp/files	 FileSize: 3976 bytes	 TransferDuration: 199.44609899999932 ms
[INFO] 2025-05-07T17:04:03.662Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1677	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1677	 FilePathLocal: /tmp/files	 FileSize: 2984 bytes	 TransferDuration: 100.00746399998661 ms
[INFO] 2025-05-07T17:04:03.782Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1678	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1678	 FilePathLocal: /tmp/files	 FileSize: 3992 bytes	 TransferDuration: 119.6927049999772 ms
[INFO] 2025-05-07T17:04:03.942Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1686	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1686	 FilePathLocal: /tmp/files	 FileSize: 6120 bytes	 TransferDuration: 159.75413300003538 ms
[INFO] 2025-05-07T17:04:04.102Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1706	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1706	 FilePathLocal: /tmp/files	 FileSize: 3192 bytes	 TransferDuration: 159.61075100000244 ms
[INFO] 2025-05-07T17:04:04.202Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1762	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1762	 FilePathLocal: /tmp/files	 FileSize: 5202 bytes	 TransferDuration: 99.82956400000376 ms
[INFO] 2025-05-07T17:04:04.321Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1770	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1770	 FilePathLocal: /tmp/files	 FileSize: 3744 bytes	 TransferDuration: 118.81974800002126 ms
[INFO] 2025-05-07T17:04:04.422Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1772	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1772	 FilePathLocal: /tmp/files	 FileSize: 2928 bytes	 TransferDuration: 100.51215400000046 ms
