[INFO] 2025-04-20T21:45:48.988Z FILE_METRICS_START RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 614.472896783 ms	 ExecutionTag: file_metrics_tag_1745185548987
[INFO] 2025-04-20T21:45:55.554Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1359	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1359	 FilePathLocal: /tmp/files	 FileSize: 4020 bytes	 TransferDuration: 139.78458899998714 ms
[INFO] 2025-04-20T21:45:55.674Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1363	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1363	 FilePathLocal: /tmp/files	 FileSize: 4532 bytes	 TransferDuration: 119.71053499996742 ms
[INFO] 2025-04-20T21:45:55.775Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1370	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1370	 FilePathLocal: /tmp/files	 FileSize: 3584 bytes	 TransferDuration: 99.89048099998854 ms
[INFO] 2025-04-20T21:45:55.914Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1374	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1374	 FilePathLocal: /tmp/files	 FileSize: 6252 bytes	 TransferDuration: 139.73285800000212 ms
[INFO] 2025-04-20T21:45:56.035Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1375	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1375	 FilePathLocal: /tmp/files	 FileSize: 3266 bytes	 TransferDuration: 119.79873999996471 ms
[INFO] 2025-04-20T21:45:56.395Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1378	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1378	 FilePathLocal: /tmp/files	 FileSize: 5640 bytes	 TransferDuration: 359.782465999956 ms
[INFO] 2025-04-20T21:45:56.534Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1385	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1385	 FilePathLocal: /tmp/files	 FileSize: 4930 bytes	 TransferDuration: 139.70299899995098 ms
[INFO] 2025-04-20T21:45:56.654Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1403	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1403	 FilePathLocal: /tmp/files	 FileSize: 2526 bytes	 TransferDuration: 119.76044600010027 ms
[INFO] 2025-04-20T21:45:56.774Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1404	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1404	 FilePathLocal: /tmp/files	 FileSize: 3346 bytes	 TransferDuration: 119.7393339999735 ms
[INFO] 2025-04-20T21:45:56.894Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1408	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1408	 FilePathLocal: /tmp/files	 FileSize: 2358 bytes	 TransferDuration: 119.78842600001371 ms
