[INFO] 2025-04-24T19:16:48.940Z START RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:48.941Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.941Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.941Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.941Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL748_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL748_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.941Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL748_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL748_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL748_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL748_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL748_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL748_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL750_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL750_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL750_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL750_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL750_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL750_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL750_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL750_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:48.942Z FILE_TRANSFER RequestId: uuid_919d1b5a_d9cd_49df_a195_f059ce93ccc0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL818_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL818_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
