[INFO] 2025-04-24T19:16:24.125Z START RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL625_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL625_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL625_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL625_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL625_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL625_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL625_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL625_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 299 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL625_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL625_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 469 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 301 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 415 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL733_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL733_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL733_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL733_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL733_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL733_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 257 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL733_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL733_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 415 bytes	 TransferDuration: 0 ms
