[INFO] 2025-04-24T19:17:17.823Z START RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL830_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL830_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL830_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL830_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL854_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL854_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL854_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL854_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL854_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL854_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 257 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL854_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL854_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
