[INFO] 2025-04-24T19:18:15.869Z START RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3c4715263643d510615654aef8ed8da557fffe96cf62eb913d276dfba2a90a55.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3c4715263643d510615654aef8ed8da557fffe96cf62eb913d276dfba2a90a55.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e1c1a3efbbe62c2a7b832722eea7a97c4c6a0584661d34d7903dfb1cb8550001.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e1c1a3efbbe62c2a7b832722eea7a97c4c6a0584661d34d7903dfb1cb8550001.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_d654fe2f1d71c9b9393af17a389125cfb4f05a2ee4da5e63313ba90ce4460342.json	 Bucket: denethor	 FilePath: mafdb/mafdb_d654fe2f1d71c9b9393af17a389125cfb4f05a2ee4da5e63313ba90ce4460342.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_8d0251a64e765db63487e462f331f4afb2749626a0d1c4085bb8731ac3a5052b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_8d0251a64e765db63487e462f331f4afb2749626a0d1c4085bb8731ac3a5052b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_79f51b2a6d308c5daae68edce3a1201466e175d5744f752df1eee9785022efe7.json	 Bucket: denethor	 FilePath: mafdb/mafdb_79f51b2a6d308c5daae68edce3a1201466e175d5744f752df1eee9785022efe7.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_dcc3944c503fdb1b76c43cbefebd97838f49d2f302bbc248d92b2fb3b5bb6d45.json	 Bucket: denethor	 FilePath: mafdb/mafdb_dcc3944c503fdb1b76c43cbefebd97838f49d2f302bbc248d92b2fb3b5bb6d45.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_7352970b74f3730627c76b09ab7aeb8b229af519dfd5753f3cca28876d58fb9a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_7352970b74f3730627c76b09ab7aeb8b229af519dfd5753f3cca28876d58fb9a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4555f69ce2c58254e8c25f01438d2c0763c3570e1c0d44ad7c518af8cc48fab3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4555f69ce2c58254e8c25f01438d2c0763c3570e1c0d44ad7c518af8cc48fab3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e2dd3ce5d6e99c0bc7b9506e67b69f3306090a007c49d5fcaa374905ab206601.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e2dd3ce5d6e99c0bc7b9506e67b69f3306090a007c49d5fcaa374905ab206601.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_6e78c99c1b81707d2db92f79bd7196e77288041bc91e58d4b2d2fe623f314899.json	 Bucket: denethor	 FilePath: mafdb/mafdb_6e78c99c1b81707d2db92f79bd7196e77288041bc91e58d4b2d2fe623f314899.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fbc430092db6f27c57652a6d98f83f73df54adfe63f16dd4d3fda5ea19589601.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fbc430092db6f27c57652a6d98f83f73df54adfe63f16dd4d3fda5ea19589601.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3f1962bcee100c1b89448256e57eca4b09479d8a967296cab1957e03b7ae9e26.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3f1962bcee100c1b89448256e57eca4b09479d8a967296cab1957e03b7ae9e26.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
