[INFO] 2025-04-24T19:16:04.688Z START RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL665_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL665_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL665_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL665_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL665_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL665_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 305 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL665_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL665_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 361 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL665_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL665_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 461 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
