[INFO] 2025-04-22T16:16:39.906Z START RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e5fe75557ba97201f45a575034b1cc166584507d1d2de38aeb4d649a324b5b67.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e5fe75557ba97201f45a575034b1cc166584507d1d2de38aeb4d649a324b5b67.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_8549b58233c57cc518f27f3d21b4551282ded33f8e0e846bc3ef39561d71f517.json	 Bucket: denethor	 FilePath: mafdb/mafdb_8549b58233c57cc518f27f3d21b4551282ded33f8e0e846bc3ef39561d71f517.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_9e89a2d9626232c9cf6bb22415e28ee791fac0d91f5cb8de0762d9421c522216.json	 Bucket: denethor	 FilePath: mafdb/mafdb_9e89a2d9626232c9cf6bb22415e28ee791fac0d91f5cb8de0762d9421c522216.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_617f38c032965f822e4bfe80c4e2684669e23988975f7360111f1b2064da8be6.json	 Bucket: denethor	 FilePath: mafdb/mafdb_617f38c032965f822e4bfe80c4e2684669e23988975f7360111f1b2064da8be6.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_8668d6455b6b1a75d51d25c40b186476c55bcfe7efa0068ca17cf66a6cee84e2.json	 Bucket: denethor	 FilePath: mafdb/mafdb_8668d6455b6b1a75d51d25c40b186476c55bcfe7efa0068ca17cf66a6cee84e2.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_b37ce2a791ecfe787b7d2e61814968329db2169d06e3e6d0a2ffb4bdcf2dc2d6.json	 Bucket: denethor	 FilePath: mafdb/mafdb_b37ce2a791ecfe787b7d2e61814968329db2169d06e3e6d0a2ffb4bdcf2dc2d6.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_35ede6722fe824035d75d0534b754dd4b23ee9330ec089bb54db2128fededd5c.json	 Bucket: denethor	 FilePath: mafdb/mafdb_35ede6722fe824035d75d0534b754dd4b23ee9330ec089bb54db2128fededd5c.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f559e9d6c1e059a8d3273e2ffdc14ec68a91f538d9a6a33166c7720962ca1cd4.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f559e9d6c1e059a8d3273e2ffdc14ec68a91f538d9a6a33166c7720962ca1cd4.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fdfd9f2efea889252a132e0d03e501efa853be19ae07f257f05331fec285e8d0.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fdfd9f2efea889252a132e0d03e501efa853be19ae07f257f05331fec285e8d0.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_cf857241ac1b3bb9eca59ca531ffcbd4ed658debba3ac4f83d7dfa6ee73afcd2.json	 Bucket: denethor	 FilePath: mafdb/mafdb_cf857241ac1b3bb9eca59ca531ffcbd4ed658debba3ac4f83d7dfa6ee73afcd2.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
