[INFO] 2025-04-22T16:16:00.077Z START RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL836_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL836_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL838_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL838_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL838_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL838_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL838_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL838_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL838_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL838_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL872_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL872_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL872_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL872_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL872_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL872_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL872_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL872_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL875_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL875_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL884_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL884_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
