[INFO] 2025-04-22T16:14:52.945Z START RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1890_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1890_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1890_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1890_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1890_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1890_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 347 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1915_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1915_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1915_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1915_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 291 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1965_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1965_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1965_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1965_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1965_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1965_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 339 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.947Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1996_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1996_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.947Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1996_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1996_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.947Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1996_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1996_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 339 bytes	 TransferDuration: 0 ms
