[INFO] 2025-04-22T16:15:40.277Z START RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL818_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL818_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL818_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL818_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL818_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL818_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL818_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL818_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL841_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL841_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL841_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL841_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL841_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL841_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL841_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL841_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL858_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL858_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL858_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL858_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL858_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL858_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL858_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL858_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 413 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL878_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL878_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 397 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL888_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL888_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 191 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.279Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL888_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL888_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
