[INFO] 2025-04-20T19:33:44.996Z FILE_METRICS_START RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 S3Key: tree	 Provider: aws_lambda	 StartTime: 138.348863741 ms	 ExecutionTag: file_metrics_tag_1745177624996
[INFO] 2025-04-20T19:33:51.247Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1363.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1363.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.67992599997501 ms
[INFO] 2025-04-20T19:33:51.347Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1370.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1370.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.81227099999046 ms
[INFO] 2025-04-20T19:33:51.467Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1374.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1374.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.79472500001975 ms
[INFO] 2025-04-20T19:33:51.567Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1375.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1375.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.89329699999416 ms
[INFO] 2025-04-20T19:33:52.007Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1378.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 439.7415679999881 ms
[INFO] 2025-04-20T19:33:52.107Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1385.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1385.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.70779599998991 ms
[INFO] 2025-04-20T19:33:52.247Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1403.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1403.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 139.66257100000234 ms
[INFO] 2025-04-20T19:33:52.347Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1404.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1404.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.87402699999848 ms
[INFO] 2025-04-20T19:33:52.447Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1408.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1408.nexus	 FilePathLocal: /tmp/files	 FileSize: 353 bytes	 TransferDuration: 99.62936799999511 ms
[INFO] 2025-04-20T19:33:52.567Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1410.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1410.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.93077700000754 ms
[INFO] 2025-04-20T19:33:52.667Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1442.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1442.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.72944899999447 ms
