[INFO] 2025-05-03T23:15:44.014Z FILE_METRICS_START RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 644.322883701 ms	 ExecutionTag: file_metrics_tag_1746314144013
[INFO] 2025-05-03T23:15:50.311Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1363	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1363	 FilePathLocal: /tmp/files	 FileSize: 4532 bytes	 TransferDuration: 119.87491599995792 ms
[INFO] 2025-05-03T23:15:50.411Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1370	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1370	 FilePathLocal: /tmp/files	 FileSize: 3584 bytes	 TransferDuration: 99.79416800001673 ms
[INFO] 2025-05-03T23:15:50.551Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1374	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1374	 FilePathLocal: /tmp/files	 FileSize: 6252 bytes	 TransferDuration: 139.70088999997188 ms
[INFO] 2025-05-03T23:15:50.651Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1375	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1375	 FilePathLocal: /tmp/files	 FileSize: 3266 bytes	 TransferDuration: 99.86271000002489 ms
[INFO] 2025-05-03T23:15:51.051Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1378	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1378	 FilePathLocal: /tmp/files	 FileSize: 5640 bytes	 TransferDuration: 399.89728400007607 ms
[INFO] 2025-05-03T23:15:51.171Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1385	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1385	 FilePathLocal: /tmp/files	 FileSize: 4930 bytes	 TransferDuration: 119.47079800006577 ms
[INFO] 2025-05-03T23:15:51.271Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1403	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1403	 FilePathLocal: /tmp/files	 FileSize: 2526 bytes	 TransferDuration: 99.97714199994334 ms
[INFO] 2025-05-03T23:15:51.391Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1404	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1404	 FilePathLocal: /tmp/files	 FileSize: 3346 bytes	 TransferDuration: 119.79411000004347 ms
[INFO] 2025-05-03T23:15:51.531Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1408	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1408	 FilePathLocal: /tmp/files	 FileSize: 2358 bytes	 TransferDuration: 139.7681729999931 ms
[INFO] 2025-05-03T23:15:51.651Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1410	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1410	 FilePathLocal: /tmp/files	 FileSize: 6196 bytes	 TransferDuration: 119.66568200000438 ms
[INFO] 2025-05-03T23:15:51.762Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1442	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1442	 FilePathLocal: /tmp/files	 FileSize: 3846 bytes	 TransferDuration: 111.00698500001727 ms
[INFO] 2025-05-03T23:15:51.871Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1464	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1464	 FilePathLocal: /tmp/files	 FileSize: 4278 bytes	 TransferDuration: 108.64218699998673 ms
[INFO] 2025-05-03T23:15:51.972Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1480	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1480	 FilePathLocal: /tmp/files	 FileSize: 5848 bytes	 TransferDuration: 100.7991909999646 ms
[INFO] 2025-05-03T23:15:52.091Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1490	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1490	 FilePathLocal: /tmp/files	 FileSize: 5188 bytes	 TransferDuration: 118.7471779999214 ms
